"channel_name","video_title","category","keywords"
"김프로KIMPRO","[SUB]김프로 채널에 아이돌 출연! 550억 뷰 김프로 쇼츠 체험하기 | 캔디샵 | KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀, 아이돌, 걸그룹"
"김프로KIMPRO","[SUB]Tree Decorating 트리 꾸미기 |  KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB]김프로젝트 EP2.쇼츠 촬영 그린스크린편 | KIM PROject EP2. Green screen filming for shorts","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB]김프로젝트 EP1.쇼츠 촬영 | KIM PROject EP1. Shorts Behind the Scenes","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","Halloween Cooking | KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB]할로윈 먹방 Halloween Mukbang🎃 | KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB] Self painting | KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB]Unboxing Our Third Diamond Play Button! 💎📦✨","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀, 다이아버튼, DIAMOND, BUTTON, Awards"
"김프로KIMPRO","[SUB] EP.1 KIMPRO Workshop #KKUBI","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","[SUB] EP.2 Vietnamese Pho Cooking #KIMPRO #KKUBI","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","Mystery Egg Capsule Mukbang 미스터리 에그 캡슐 먹방 KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","수업 시간에 이어폰이 잘렸습니다!","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","COLOR MUKBANG [Pink🩷 Blue💙] KIMPRO 김프로 먹방","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","친구를 얕보지 마세요 | KIMPRO SCHOOL","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","2주년 기념 Vlog | KIMPRO","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
"김프로KIMPRO","학교에 몰래 강아지를 데리고 왔어요🏫🐶","People , Blogs","김프로, kimpro, 김동준, 김프로유투브, 유투브김프로, 김동준유투브, 유백합, kkubi99, kkubi, 오케이팀, teamok, okteam, ok팀"
