"channel_name","video_title","category","keywords"
"Jane ASMR 제인","ASMR Matcha Mochi Chocolate Cake 말차 모찌 초콜릿 케이크 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, food challenge, eating, green, dessert, jelly, candy, cake, green tea, 녹차, 그린티, 젤리, 케이크"
"Jane ASMR 제인","ASMR Dubai Chocolate Mochi Marshmallow ice cream 두바이 초콜렛 모찌 마쉬멜로우 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, chocolate, food challenge, eating, 두바이, 초콜렛, 초콜릿, 모찌, dubai, pistachio, dessert, mochi"
"Jane ASMR 제인","ASMR Pink Dessert Mochi Cake Marshmallow 핑크 모찌 케이크 마쉬멜로우 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, JANE, 제인, mukbang asmr, eating, amsr, desserts, eating show, asmr mukbang, rainbow, edible spoon, 탕후루, 무지개, 레인보우, 젤리, asmr jelly, asmr gummy, macaron, 마카롱, jelly gummy, gummy, candy, jelly candy, candies, gummies, jellies, 구미, 캔디, Kohakuto, 코하쿠토, kohakuto, dice candy, edible dice, 먹는 주사위, 주사위 사탕, 먹는 립스틱, edible lipstick"
"Jane ASMR 제인","ASMR Dubai Chocolate Mochi Dessert 두바이 초콜렛 모찌 디저트 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, chocolate, food challenge, eating, 두바이, 초콜렛, 초콜릿, 모찌, dubai, pistachio, dessert, mochi"
"Jane ASMR 제인","ASMR Fruit Mochi Wagashi 과일 화과자 모찌 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, food challenge, eating, desserts, pink, fruits, mochi, wagashi, rice cake, 모찌, 찹쌀떡, 화과자"
"Jane ASMR 제인","ASMR Mini Jaws Bar Ice Cream 미니 죠스바 아이스크림 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, ice cream, 아이스크림, food challenge, eating, es krim, 죠스바, 미니어쳐, miniature, 미니 스크류바"
"Jane ASMR 제인","ASMR Fruit Mochi Macaron 과일 모찌 마카롱 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, food challenge, eating, desserts, pink, fruits, mochi, wagashi, rice cake, 모찌, 찹쌀떡, 화과자"
"Jane ASMR 제인","ASMR Rainbow Marshmallow Peach Mochi Cake 레인보우 마쉬멜로우 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, eating, mochi, 모찌, marshmallow, 마쉬멜로우, rainbow, 레인보우, 무지개"
"Jane ASMR 제인","ASMR Fruit Mochi Wagashi 과일 화과자 모찌 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, food challenge, eating, desserts, pink, fruits, mochi, wagashi, rice cake, 모찌, 찹쌀떡, 화과자"
"Jane ASMR 제인","ASMR Miniature Ice Cream 미니 스크류바 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, ice cream, 아이스크림, food challenge, eating, es krim, 미니 스크류바, 죠스바, 미니어쳐, miniature"
"Jane ASMR 제인","ASMR Edible iPhone Jelly Dice Candy 먹는 주사위 사탕 아이폰 젤리 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, JANE, 제인, mukbang asmr, eating, amsr, desserts, eating show, asmr mukbang, rainbow, edible spoon, 탕후루, 무지개, 레인보우, 젤리, asmr jelly, asmr gummy, macaron, 마카롱, jelly gummy, gummy, candy, jelly candy, candies, gummies, jellies, 구미, 캔디, iPhone, edible, 숟가락"
"Jane ASMR 제인","ASMR Fried Chicken, Spicy Noodles 배홍동 칼빔면 양념치킨 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, 초코, food challenge, eating, fried chicken, 양념 치킨, 치킨, 배홍동, 칼빔면, spicy noodles"
"Jane ASMR 제인","ASMR Marshmallow Ice Cream 마쉬멜로우 아이스크림 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, ice cream, chocolate, 아이스크림, 초콜릿, 초코, food challenge, eating, es krim"
"Jane ASMR 제인","ASMR Chocolate Cake, Crepe Cake 초콜릿 크레이프 케이크 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, eating, mochi, cake, 케이크, crepe cake, 크레이프"
"Jane ASMR 제인","ASMR Chocolate Mochi Ice Cream 초코 모찌 아이스크림 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, ice cream, chocolate, 아이스크림, 초콜릿, 초코, food challenge, eating, es krim"
"Jane ASMR 제인","ASMR Mochi Honey Rice Cake 떡 모찌 꿀떡 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, eating, mochi, rice cake, 모찌, 찹쌀떡, 화과자, 꿀떡"
"Jane ASMR 제인","ASMR Kitkat Mint Marshmallow Ice Cream 킷캣 민트 마쉬멜로우 아이스크림 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, JANE, 제인, mukbang asmr, eating, amsr, desserts, eating show, asmr mukbang, rainbow, edible spoon, 탕후루, 무지개, 레인보우, 젤리, asmr jelly, asmr gummy, macaron, 마카롱, jelly gummy, gummy, candy, jelly candy, candies, gummies, jellies, 구미, 캔디, Kohakuto, 코하쿠토, kohakuto, dice candy"
"Jane ASMR 제인","ASMR Chocolate Mochi Ice Cream 초코 모찌 아이스크림 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, ice cream, chocolate, 아이스크림, 초콜릿, 초코, food challenge, eating, es krim"
"Jane ASMR 제인","ASMR Edible lipstick, Raindrop Jello 먹는 립스틱 물방울 젤리 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, JANE, 제인, mukbang asmr, eating, amsr, desserts, eating show, asmr mukbang, rainbow, edible spoon, 탕후루, 무지개, 레인보우, 젤리, asmr jelly, asmr gummy, macaron, 마카롱, jelly gummy, gummy, candy, jelly candy, candies, gummies, jellies, 구미, 캔디, Kohakuto, 코하쿠토, kohakuto, dice candy, edible dice, 먹는 주사위, 주사위 사탕, 먹는 립스틱, edible lipstick"
"Jane ASMR 제인","ASMR Kitkat Blue Marshmallow Jelly Candy 킷캣 블루 마쉬멜로우 젤리 먹방 Mukbang, Eating","People , Blogs","mukbang, asmr, 먹방, JANE, 제인, mukbang asmr, eating, amsr, desserts, eating show, asmr mukbang, rainbow, edible spoon, 탕후루, 무지개, 레인보우, 젤리, asmr jelly, asmr gummy, macaron, 마카롱, jelly gummy, gummy, candy, jelly candy, candies, gummies, jellies, 구미, 캔디, Kohakuto, 코하쿠토, kohakuto, dice candy"
"Jane ASMR 제인","ASMR RAINBOW CREPE CAKE, EDIBLE SPOON, MACARON, NERDS ROPE JELLY 레인보우 크레이프 케이크, 너드 로프젤리, 먹는 숟가락 먹방","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr crepe cake, asmr cake, asmr crepe, asmr rainbow crepe cake, asmr macaron, asmr macarons, asmr edible spoon, asmr spoon, asmr rainbow food, asmr rope jelly, asmr gummy, asmr jello, asmr jelly, asmr nerds, asmr unicorn, 크레이프 케이크 먹방, 마카롱 먹방, 숟가락 먹방, 먹는 숟가락, 너드 로프젤리 먹방, 젤리 먹방, 무지개 크레이프 케이크 먹방, 레인보우 크레이프 케이크 먹방"
"Jane ASMR 제인","ASMR BLACK BEAN NOODLES + FRIED CHICKEN 시크릿 양념치킨 짜장 불닭볶음면 먹방 (EATING SOUNDS) NO TALKING MUKBANG","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr noodles, asmr eating noodles, noodles asmr, noodles, mukbang asmr, black bean noodles, black bean noodles asmr, mukbang noodles, noodle asmr, asmr jajangmyeon, noodle big bites, asmr chicken, asmr fried chicken, asmr korean fried chicken, chicken mukbang, fried chicken asmr, 짜파게티 먹방, 트러플오일 짜파게티, 치킨먹방, 치킨먹방 asmr, 치킨 asmr, 양념 치킨 먹방, 시크릿 양념"
"Jane ASMR 제인","ASMR LOLLIPOP ICE CREAM, MARSHMALLOW, GUMMY JELLY 롤리팝 아이스크림, 마쉬멜로우, 젤리 먹방 EATING SOUNDS","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr ice cream, eating ice cream, ice cream eating, ice cream asmr, ice cream eating asmr, asmr es krim, eating es krim, es krim eating asmr, asmr lollipop, eating lollipop, lollipop ice cream eating, asmr marshmallow, eating marshmallow, marshmallows eating asmr, eating marshmallows, asmr gummy, eating gummy, gummy jelly eating asmr"
"Jane ASMR 제인","ASMR JELLY NOODLES, GUMMY JELLY 젤리국수, 젤리 구미 먹방 (EATING SOUNDS) NO TALKING MUKBANG","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr jelly, asmr jello, eating jelly, jelly asmr, jello asmr, eating jello, jello eating, asmr sticky, asmr chewy, asmr gummy, gummy asmr, gummy jelly asmr, eating gummy jelly, asmr candy, candy asmr, eating candy, 젤리 먹방, 불량식품 먹방, 젤리 asmr, 지구젤리 먹방, 햄버거 젤리 먹방"
"Jane ASMR 제인","ASMR EDIBLE HAIR BRUSH, SPOON, BUBBLE TEA, GUMMY 먹는 빗, 숟가락, 햄버거 젤리, 주사위 사탕, 버블티 먹방 (EATING SOUNDS)","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr bubble tea, bubble tea asmr, tapioca pearls asmr, milk tea asmr, edible hair brush asmr, edible spoon asmr, chocolate spoon asmr, hamburger gummy asmr, dice candy asmr, edible spoon, gummy asmr, jelly asmr, jello asmr, boba asmr, asmr boba, 먹는 빗 먹방, 빗 먹방, 공차 먹방, 버블티 먹방, 타피오카 asmr, 햄버거 젤리 먹방, 숟가락 먹방, 먹는 숟가락, 주사위 사탕 먹방, 주사위 먹방"
"Jane ASMR 제인","ASMR RAINBOW JELLY PARTY *CRYSTAL JELLY KOHAKUTO, CUP JELLY, JELLY NOODLES 무지개 젤리 먹방 JANE ASMR 제인","People , Blogs","asmr, eating sounds, mukbang, no talking, 먹방, 리얼사운드, asmr eating, asmr food, asmr 먹방, 먹방 asmr, eating sound, jane asmr, 제인 asmr, asmr rainbow jelly, rainbow jelly asmr, asmr rainbow jello, rainbow jello asmr, asmr jelly, eating jelly, jelly asmr, jelly eating, asmr jello, eating jello, jello asmr, jello eating, asmr jelly noodles, jelly noodles asmr, asmr jello noodles, asmr jelly straws, asmr kohakuto, kohakuto asmr, asmr tiktok fruit jello, asmr tiktok jelly, makan, 美味"
