"channel_name","video_title","category","keywords"
"Ligue 1 McDonald’s","Petits ponts, roulettes, sombrero : les MEILLEURS DRIBBLES de la saison | Ligue 1 McDonald's 24/25","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, OGC Nice, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Cherki, Rayan Cherki, Ousmane Dembélé, Dembélé, Mason Greenwood, Greenwood, Doué, Désiré Doué"
"Ligue 1 McDonald’s","Comment Geronimo Rulli TRANSFORME les 6 mètres de l'OM | Face au Jeu #11","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, MHSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Geronimo Rulli, Rulli, Rulli OM, 6 mètres, olympique de marseille, marseille"
"Ligue 1 McDonald’s","Ousmane Dembélé : 10 minutes SENSATIONNELLES du MVP de la saison 2024/2025 🌟","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Ousmane Dembélé, Dembélé, Dembélé PSG, Dembélé ligue des champions, dembélé, dembélé psg"
"Ligue 1 McDonald’s","OL, OM, Monaco : les plus BEAUX BUTS COLLECTIFS de la saison ​| Ligue 1 McDonald's 24/25","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, MHSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, om, ol, Monaco, ASM, Cherki, Greenwood, Top buts, top goals, but collectif"
"Ligue 1 McDonald’s","REIMS - METZ : le FILM des BARRAGES","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, MHSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1"
"Ligue 1 McDonald’s","STADE DE REIMS - FC METZ - Barrage Retour - Ligue 1 McDonald's 24/25","Sports","2024-2025, ASMonaco, ASSE, Angers, Auxerre, Brest, FCNantes, Football, France, L1, LOSC, LeHavre, Lens, Ligue1, Ligue1McDonald's, MHSC, Marseille, Nice, OGCNice, OL, OM, OlympiqueLyonnais, PSG, ParisSG, ParisSaint-Germain, RCL, RCLens, RCStrasbourg, StadeRennais, StadedeReims, ToulouseFootballClub, championnatdeFrance, english, foot, football, ligue1, ligue1mcdonald's, marseille, nice, paris, psg, résuméLigue1, résumésL1"
"Ligue 1 McDonald’s","Le CONTRE-PRESSING du PSG de Luis Enrique, un MODÈLE du genre | Face au Jeu #10","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, MHSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Luis Enrique, gegenpressing, contre-pressing, psg luis enrique"
"Ligue 1 McDonald’s","Greenwood, Abline, Zaroury : les BUTS les plus PUISSANTS de la saison💥​| Ligue 1 McDonald's 24/25","Sports","2024-2025, ASMonaco, ASSE, Angers, Auxerre, Brest, FCNantes, Football, France, L1, LOSC, LeHavre, Ligue1, Ligue1McDonald's, MHSC, Marseille, OGCNice, OL, OM, PSG, ParisSG, ParisSaint-Germain, RCLens, RCStrasbourg, StadeRennais, StadedeReims, ToulouseFootballClub, championnatdeFrance, foot, football, ligue1, ligue1mcdonald's, paris, psg, résuméLigue1, résumésL1, Greenwood, marseille, om, Mason Greenwood, Greenwood OM, Matias Fernandez-Pardo, Fernandez-Pardo, Lille, frappe de loin Ligue 1, frappe surpuissante, power shot"
"Ligue 1 McDonald’s","Comment Liam Rosenior a BOULEVERSÉ le JEU de Strasbourg | Face au Jeu #9","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, Angers, Auxerre, Brest, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, RC Lens, LOSC, MHSC, OGC Nice, Stade de Reims, Stade Rennais, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Liam Rosenior, Rosenior, Strasbourg, Rosenior Strasbourg, Emegha, Emanuel Emegha, RCSA"
"Ligue 1 McDonald’s","Qui est le CRACK de la saison en Ligue 1 ? On fait le BILAN 🤔​| Crackitomètre #5","Sports","Ligue 1 McDonald's, Ligue 1, L1, Ligue1, ligue1, ligue 1 mcdonald's, France, championnat de France, Football, foot, football, psg, PSG, paris, Paris SG, Paris Saint-Germain, OL, OM, FC Nantes, AS Monaco, Marseille, Olympique Lyonnais, Le Havre, LOSC, MHSC, OGC Nice, ASSE, RC Strasbourg, Toulouse Football Club, 2024-2025, résumé Ligue 1, résumés L1, Désiré Doué, Doué PSG, doué paris, doué, Cherki, Cherki OL, cherki, Cherki Lyon, Rayan Cherki, Andrey santos, Stassin, crackitomètre, crack Ligue 1"
