"channel_name","video_title","category","keywords"
"PONY Syndrome","인간 딸기가 되어보자🍓Strawberry Makeup","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","나만 안 했어 모카무스 메이크업 ☕ Mocha Mousse Makeup","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 모카무스 메이크업, 음영 메이크업, 데일리 메이크업, Mocha Mousse Makeup"
"PONY Syndrome","계속 먹기만 하는 두바이 출장 브이로그 Dubai Vlog #1","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","자카르타 출장 브이로그거든요,,,Jakarta Vlog","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","연말 모임에서 여신되는 네온빔 글로이 메이크업🥂✨ Holiday Glowy Neon-Beam Makeup!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 파티 메이크업, 쿨톤 메이크업, 아이돌 메이크업, cooltone makeup, Holiday makeup, party makeup"
"PONY Syndrome","고급스러운 피부 표현법 + 벨벳 시나몬 메이크업🧸🤎 Velvet Cinnamon Makeup","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 겨울 메이크업, 가을 메이크업, 브라운 메이크업, 음영 메이크업, 데일리 메이크업, 웜톤 메이크업"
"PONY Syndrome","인스타그램 메이크업 요청! 레드 염색 메이크업🍒 Instagram Requests: Makeup For Red Hair!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","🩵요즘 유행!🩵  K-POP 아이돌 콧잔등 메이크업 Super Trendy K-POP Idol Brightened Nose Bridge Look!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 아이돌 메이크업, idol makeup"
"PONY Syndrome","👓 청순&시크 2가지 긱시크 메이크업 Geek Chic Make Up","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 긱시크룩, 긱시크, Geek Chic, 안경 메이크업"
"PONY Syndrome","‼️코스인들 주목‼️ 고양이상 메이크업 🐱 Cat-Eye Makeup (Attention Cosplayers!)","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 코스프레 메이크업, 코스 메이크업, 고양이상 메이크업, cosplay makeup, cateye makeup"
"PONY Syndrome","퀵&이지 데일리 메이크업! (feat.써랏) Quick & Easy Daily Makeup! (Ft. Surratt)","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 데일리 메이크업, everyday makeup"
"PONY Syndrome","🫧초여름 청량 스파클링 메이크업 ✨Refreshing Early Summer Sparkly Makeup","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 여름 메이크업, 바세린광"
"PONY Syndrome","지금 하면 제일 예뻐,,🌸 핑크 골드 메이크업 Pink Gold Makeup","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 봄 메이크업, 핑크 메이크업, 데일리 메이크업, spring makeup"
"PONY Syndrome","🍒체리 립 포인트 메이크업! Cherry Lip Point Makeup!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","⚜️올드머니룩 메이크업⚜️ Old Money Makeup Look","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, old money look, 윤광 메이크업"
"PONY Syndrome","빠르고 심플하게! 🍑모노컬러 코랄 메이크업🍑 Quick & Simple Monochromatic Coral Makeup!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬"
"PONY Syndrome","모브 메이크업 + 메이크업에 어울리는 헤어스타일하는법 (C컬, 웨이브머리, 묶음머리TIP) Makeup + Hairstyle = lifehack!","Howto , Style","pony makeup, pony syndrome, kbeauty, 포니메이크업, 포니신드롬, 모브 메이크업"
