"channel_name","video_title","category","keywords"
"소맥거핀","특 사전 특","Film , Animation","게임 만화, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 소맥, somacguffin, somacguffin animation, animation, meme, 일상, 일상만화, 특 사전"
"소맥거핀","소맥이와 일곱 기사의 모험","Film , Animation","게임 만화, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 소맥, somacguffin, somacguffin animation, animation, meme"
"소맥거핀","몬스터헌터 소맥이","Film , Animation","게임 만화, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 소맥, somacguffin, somacguffin animation, animation, meme, 몬스터 헌터 와일즈, 몬헌, Monster Hunter Wilds, モンスターハンターワイルズ"
"소맥거핀","계단 특","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme, 계단 특, Features of stairs"
"소맥거핀","어릴 적 삼촌 특","Film , Animation","병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme, 삼촌, Uncle"
"소맥거핀","웃음 바이러스 만화","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme"
"소맥거핀","엄마의 오징어 게임","Film , Animation","만화, 소맥거핀, 애니메이션, 소맥거핀 애니메이션, 영화/애니메이션, 소맥, somacguffin, somacguffin animation, animation, meme, Squid Game, squid game animation, Squid Game season 2, Squid Game: Season 2 Animation, 오징어게임, 오징어게임 2"
"소맥거핀","스트리머 소맥이","Film , Animation","만화, 소맥거핀, 애니메이션, 웃긴 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 소맥, somacguffin, somacguffin animation, animation, meme, Live streaming, ㅋㅋㅋㅋㅋ"
"소맥거핀","소맥이의 편의점 먹방 2","Film , Animation","웃긴, 만화, 소맥거핀, 애니메이션, 웃긴 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 소맥, somacguffin, somacguffin animation, animation, meme, 편의점, 먹방, 편의점 먹방, 까르보 불닭볶음면, Spicy Chicken Flavor Noodle Carbonara, Buldak Carbonara, Carbonara Buldak"
"소맥거핀","""특"" 시리즈 몰아보기","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme, 몰아보기, 몰아보기 특"
"소맥거핀","오징어 게임 시즌2 요약 [Squid Game: Season 2 Summary]","Film , Animation","만화, 소맥거핀, 애니메이션, 소맥거핀 애니메이션, 영화/애니메이션, 소맥, somacguffin, somacguffin animation, animation, meme, Squid Game, squid game animation, Squid Game season 2, Squid Game: Season 2 Animation, 오징어게임, 오징어게임 2"
"소맥거핀","매우 과학적인 만화","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme"
"소맥거핀","외로운 지박령","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme"
"소맥거핀","어릴 적 남자의 무기","Film , Animation","게임 만화, 병맛, 웃긴, 만화, 소맥거핀, 애니메이션, 게임 애니메이션, 웃긴 만화, 병맛 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 게임, 코미디, 소맥, somacguffin, somacguffin animation, animation, meme"
"소맥거핀","소맥이의 고백공격","Film , Animation","만화, 소맥거핀, 애니메이션, 웃긴 만화, 소맥거핀 애니메이션, 소맥거핀 만화, 영화/애니메이션, 소맥, somacguffin, somacguffin animation, animation, meme, Christmas animation, Christmas"
