channel_name,video_title,category,keywords
침착맨,침착맨 삼국지 완전판,Entertainment,"침착맨, 이말년, 침투부"
침착맨,유사과학 월드컵 (이과답답주의),Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,쉽게 질리는 음식 월드컵,Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,음모론 & 미스터리 월드컵,Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,Even if you don't know anything you can start Chimchak Man Three Kingdoms Part 1,Entertainment,"침착맨, 이말년, 침투부"
침착맨,[Chim vs Pearl debate] What tastes better: Hard Peaches VS Soft Peaches?,Entertainment,"침착맨, 이말년, 침투부"
침착맨,Judging Viewers' Rooms,Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,NewJeans interview,Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,궤도 '우주론' 특강 | 우리는 어디에서 와서 어디로 가는가,Entertainment,"video, sharing, camera phone, video phone, free, upload"
침착맨,쓸데없지만 신기한 사실 월드컵,Entertainment,"video, sharing, camera phone, video phone, free, upload"
